file,videoId,model,transcriptWords,inputTokens,outputTokens,totalTokens,inputPerWord,outputPerWord,totalPerWord,durationMin
paso_a_paso_profundo-2026-05-23t20-35-02-323z.meta.json,cxsr69rkPLk,qwen3.5-397b-a17b,2069,3186,4450,7636,1.54,2.151,3.691,9.98
paso_a_paso_profundo-2026-05-24t11-05-12-675z.meta.json,cxsr69rkPLk,qwen3.6-27b,2069,3188,3075,6263,1.541,1.486,3.027,9.98
paso_a_paso_profundo-2026-05-24t12-01-23-910z.meta.json,INMPwIkRvSc,qwen3.6-27b,1087,1940,149,2089,1.785,0.137,1.922,5.68
paso_a_paso_profundo-2026-05-24t12-26-09-009z.meta.json,INMPwIkRvSc,qwen3.6-27b,1087,2217,3224,5441,2.04,2.966,5.006,5.68
paso_a_paso_profundo-2026-05-25t10-54-57-247z.meta.json,gS3dvMzm89M,kimi-k2.6,1336,4536,6341,10877,3.395,4.746,8.141,9.82
paso_a_paso_profundo-2026-05-25t10-55-19-733z.meta.json,gS3dvMzm89M,kimi-k2.6,1336,4535,8125,12660,3.394,6.082,9.476,9.82
paso_a_paso_profundo-2026-05-25t11-28-28-685z.meta.json,gS3dvMzm89M,qwen3.5-397b-a17b,1336,3159,4415,7574,2.365,3.305,5.669,9.82
paso_a_paso_profundo-2026-05-25t11-34-52-073z.meta.json,wZGf0SdZCQo,qwen3.5-397b-a17b,4790,6628,4886,11514,1.384,1.02,2.404,27.53
paso_a_paso_profundo-2026-05-25t11-38-12-175z.meta.json,ByUz0W9UUEI,qwen3.5-397b-a17b,7066,11161,4626,15787,1.58,0.655,2.234,39.78
paso_a_paso_profundo-2026-05-25t11-48-53-260z.meta.json,ByUz0W9UUEI,qwen3.6-27b,7066,11163,2925,14088,1.58,0.414,1.994,39.78
paso_a_paso_profundo-2026-05-25t11-51-19-268z.meta.json,wZGf0SdZCQo,qwen3.6-27b,4790,6630,3406,10036,1.384,0.711,2.095,27.53
paso_a_paso_profundo-2026-05-25t11-53-50-066z.meta.json,wZGf0SdZCQo,qwen3.6-27b,4790,6630,3063,9693,1.384,0.639,2.024,27.53
paso_a_paso_profundo-2026-05-25t11-55-24-943z.meta.json,N3AogqDP_kw,qwen3.6-27b,8353,13802,2627,16429,1.652,0.314,1.967,40.28
paso_a_paso_profundo-2026-05-25t11-58-48-843z.meta.json,N3AogqDP_kw,qwen3.6-27b,8353,13802,2965,16767,1.652,0.355,2.007,40.28
paso_a_paso_profundo-2026-05-25t12-00-49-983z.meta.json,N3AogqDP_kw,qwen3.5-397b-a17b,8353,13800,4216,18016,1.652,0.505,2.157,40.28
paso_a_paso_profundo-2026-05-25t12-01-41-412z.meta.json,t3aImWWIBaM,qwen3.5-397b-a17b,8036,12337,3652,15989,1.535,0.454,1.99,43.85
paso_a_paso_profundo-2026-05-25t12-15-38-073z.meta.json,t3aImWWIBaM,kimi-k2.6,8036,14769,4363,19132,1.838,0.543,2.381,43.85
paso_a_paso_profundo-2026-05-25t12-21-27-908z.meta.json,wZGf0SdZCQo,kimi-k2.6,4790,6392,6287,12679,1.334,1.313,2.647,27.53
